,ret
2023-06-28,0.0
2023-06-29,0.0
2023-06-30,0.0
2023-07-01,0.0
2023-07-02,0.0
2023-07-03,0.0
2023-07-04,0.0
2023-07-05,0.0
2023-07-06,0.0
2023-07-07,0.0
2023-07-08,0.0
2023-07-09,0.0
2023-07-10,0.0
2023-07-11,0.0
2023-07-12,0.0
2023-07-13,0.0
2023-07-14,0.0
2023-07-15,0.0
2023-07-16,0.0
2023-07-17,0.0
2023-07-18,0.0
2023-07-19,0.0
2023-07-20,0.0
2023-07-21,0.0
2023-07-22,0.0
2023-07-23,0.0
2023-07-24,0.0
2023-07-25,0.0
2023-07-26,0.0
2023-07-27,0.0
2023-07-28,0.0
2023-07-29,0.0
2023-07-30,0.0
2023-07-31,0.0
2023-08-01,0.0
2023-08-02,0.0
2023-08-03,0.0
2023-08-04,0.0
2023-08-05,0.0
2023-08-06,0.0
2023-08-07,0.0
2023-08-08,0.0
2023-08-09,0.0
2023-08-10,0.0
2023-08-11,0.0
2023-08-12,0.0
2023-08-13,0.0
2023-08-14,0.0
2023-08-15,0.0
2023-08-16,0.0
2023-08-17,0.0
2023-08-18,0.0
2023-08-19,0.0
2023-08-20,0.0
2023-08-21,0.0
2023-08-22,0.0
2023-08-23,0.0
2023-08-24,0.0
2023-08-25,0.0
2023-08-26,0.0
2023-08-27,0.0
2023-08-28,0.0
2023-08-29,0.0
2023-08-30,0.0
2023-08-31,0.0
2023-09-01,0.0
2023-09-02,0.0
2023-09-03,0.0
2023-09-04,0.0
2023-09-05,0.0
2023-09-06,0.0
2023-09-07,0.0
2023-09-08,0.0
2023-09-09,0.0
2023-09-10,0.0
2023-09-11,0.0
2023-09-12,0.0
2023-09-13,0.0
2023-09-14,0.0
2023-09-15,0.0
2023-09-16,0.0
2023-09-17,0.0
2023-09-18,0.0
2023-09-19,-1.4485718535794945e-07
2023-09-20,1.2599946885849533e-07
2023-09-21,-4.199981773478356e-08
2023-09-22,-8.39996389112585e-08
2023-09-23,0.0
2023-09-24,0.0
2023-09-25,-1.8731737938537663e-08
2023-09-26,0.0
2023-09-27,0.0
2023-09-28,0.0
2023-09-29,0.0
2023-09-30,0.0
2023-10-01,0.0
2023-10-02,0.0
2023-10-03,0.0
2023-10-04,0.0
2023-10-05,0.0
2023-10-06,0.0
2023-10-07,0.0
2023-10-08,0.0
2023-10-09,0.0
2023-10-10,0.0
2023-10-11,0.0
2023-10-12,0.0
2023-10-13,0.0
2023-10-14,0.0
2023-10-15,0.0
2023-10-16,0.0
2023-10-17,0.0
2023-10-18,-3.5485251315137134e-07
2023-10-19,-2.0999728600479273e-07
2023-10-20,8.399778761436494e-08
2023-10-21,0.0
2023-10-22,0.0
2023-10-23,-8.399778061995988e-08
2023-10-24,8.399778761436494e-08
2023-10-25,0.0
2023-10-26,-6.719898739682151e-07
2023-10-27,2.759775208360793e-07
2023-10-28,0.0
2023-10-29,0.0
2023-10-30,0.0
2023-10-31,0.0
2023-11-01,0.0
2023-11-02,0.0
2023-11-03,0.0
2023-11-04,0.0
2023-11-05,0.0
2023-11-06,0.0
2023-11-07,0.0
2023-11-08,0.0
2023-11-09,0.0
2023-11-10,0.0
2023-11-11,0.0
2023-11-12,0.0
2023-11-13,-1.885775424703695e-08
2023-11-14,2.0999739946958584e-07
2023-11-15,4.6199265613111606e-07
2023-11-16,4.1999833166883604e-08
2023-11-17,-5.039922547078746e-07
2023-11-18,0.0
2023-11-19,0.0
2023-11-20,-1.6799750290896753e-07
2023-11-21,8.399781181722688e-08
2023-11-22,8.399971229700043e-08
2023-11-23,-4.1999471100950814e-07
2023-11-24,-1.2599770327081927e-07
2023-11-25,0.0
2023-11-26,0.0
2023-11-27,-1.6799950197654567e-07
2023-11-28,4.19998824607859e-08
2023-11-29,1.2599964227533178e-07
2023-11-30,-8.399975104378399e-08
2023-12-01,0.0
2023-12-02,0.0
2023-12-03,0.0
2023-12-04,2.9399533851837134e-07
2023-12-05,-1.8731757367440593e-08
2023-12-06,0.0
2023-12-07,0.0
2023-12-08,0.0
2023-12-09,0.0
2023-12-10,0.0
2023-12-11,0.0
2023-12-12,0.0
2023-12-13,0.0
2023-12-14,0.0
2023-12-15,0.0
2023-12-16,0.0
2023-12-17,0.0
2023-12-18,0.0
2023-12-19,1.9084567748350878e-07
2023-12-20,1.2599957832648556e-07
2023-12-21,4.1997946897964766e-08
2023-12-22,-4.1997945010585624e-08
2023-12-23,0.0
2023-12-24,0.0
2023-12-25,1.259976551981623e-07
2023-12-26,-8.39996977530788e-08
2023-12-27,4.199985248476423e-08
2023-12-28,3.779948409832201e-07
2023-12-29,1.2599950416358752e-07
2023-12-30,0.0
2023-12-31,0.0
2024-01-01,0.0
2024-01-02,4.6199240211208803e-07
2024-01-03,4.619940958683344e-07
2024-01-04,2.5199683650889426e-07
2024-01-05,1.2599743293151278e-07
2024-01-06,0.0
2024-01-07,0.0
2024-01-08,-8.399954953830502e-08
2024-01-09,-2.939946334157284e-07
2024-01-10,2.099970459745748e-07
2024-01-11,0.0
2024-01-12,4.619937854499767e-07
2024-01-13,0.0
2024-01-14,0.0
2024-01-15,-4.1999380961943444e-07
2024-01-16,8.399765283328975e-08
2024-01-17,0.0
2024-01-18,1.679971988188811e-07
2024-01-19,2.9399647916150684e-07
2024-01-20,0.0
2024-01-21,0.0
2024-01-22,2.939944852009546e-07
2024-01-23,-2.0999681660249792e-07
2024-01-24,-2.099949533151957e-07
2024-01-25,0.0
2024-01-26,4.1999190236730044e-07
2024-01-27,0.0
2024-01-28,0.0
2024-01-29,-2.939943988256033e-07
2024-01-30,0.0
2024-01-31,-1.6799712121429167e-07
2024-02-01,2.0999691363599027e-07
2024-02-02,2.099968694491139e-07
2024-02-03,0.0
2024-02-04,0.0
2024-02-05,1.3019787918899794e-06
2024-02-06,4.199969194651487e-08
2024-02-07,1.259971629252732e-07
2024-02-08,0.0
2024-02-09,0.0
2024-02-10,0.0
2024-02-11,0.0
2024-02-12,0.0
2024-02-13,0.0
2024-02-14,0.0
2024-02-15,-6.719873276717081e-07
2024-02-16,3.359938895997061e-07
2024-02-17,0.0
2024-02-18,0.0
2024-02-19,8.399749051868355e-08
2024-02-20,-1.2599717880146244e-07
2024-02-21,1.259971946776517e-07
2024-02-22,-4.199778802504994e-08
2024-02-23,-2.939959727887853e-07
2024-02-24,0.0
2024-02-25,0.0
2024-02-26,1.6799693081104294e-07
2024-02-27,8.399940498726721e-08
2024-02-28,3.359937768010468e-07
2024-02-29,0.0
2024-03-01,-1.6799683189017145e-07
2024-03-02,0.0
2024-03-03,0.0
2024-03-04,0.0
2024-03-05,1.259971682543437e-07
2024-03-06,-2.9399399137375326e-07
2024-03-07,-8.399939788183985e-08
2024-03-08,-3.7799350738332294e-07
2024-03-09,0.0
2024-03-10,0.0
2024-03-11,-2.5199640263373624e-07
2024-03-12,0.0
2024-03-13,7.559893984154797e-07
2024-03-14,-3.359956699533484e-07
2024-03-15,8.3999422528791e-08
2024-03-16,0.0
2024-03-17,0.0
2024-03-18,-3.779935550118907e-07
2024-03-19,-1.0651107973380647e-07
2024-03-20,0.0
2024-03-21,0.0
2024-03-22,0.0
2024-03-23,0.0
2024-03-24,0.0
2024-03-25,0.0
2024-03-26,0.0
2024-03-27,0.0
2024-03-28,1.822811279694747e-08
2024-03-29,1.2599727461370946e-07
2024-03-30,0.0
2024-03-31,0.0
2024-04-01,-4.199972203355884e-08
2024-04-02,-4.199972380991568e-08
2024-04-03,-3.3599398985284523e-07
2024-04-04,-3.7799384244863177e-07
2024-04-05,-3.3599422977204085e-07
2024-04-06,0.0
2024-04-07,0.0
2024-04-08,0.0
2024-04-09,1.2599740162322348e-07
2024-04-10,-1.679971501911126e-07
2024-04-11,4.1999771438483435e-08
2024-04-12,7.139884550255715e-07
2024-04-13,0.0
2024-04-14,0.0
2024-04-15,-9.659844758536096e-07
