,ret
2015-06-30,0.0
2015-07-01,0.0
2015-07-02,0.0
2015-07-03,0.0
2015-07-04,0.0
2015-07-05,0.0
2015-07-06,0.0
2015-07-07,0.0
2015-07-08,0.0
2015-07-09,0.0
2015-07-10,0.0
2015-07-11,0.0
2015-07-12,0.0
2015-07-13,0.0
2015-07-14,0.0
2015-07-15,0.0
2015-07-16,0.0
2015-07-17,0.0
2015-07-18,0.0
2015-07-19,0.0
2015-07-20,0.0
2015-07-21,0.0
2015-07-22,0.0
2015-07-23,0.0
2015-07-24,0.0
2015-07-25,0.0
2015-07-26,0.0
2015-07-27,0.0
2015-07-28,0.0
2015-07-29,0.0
2015-07-30,0.0
2015-07-31,0.0
2015-08-01,0.0
2015-08-02,0.0
2015-08-03,0.0
2015-08-04,0.0
2015-08-05,0.0
2015-08-06,0.0
2015-08-07,0.0
2015-08-08,0.0
2015-08-09,0.0
2015-08-10,0.0
2015-08-11,0.0
2015-08-12,0.0
2015-08-13,0.0
2015-08-14,0.0
2015-08-15,0.0
2015-08-16,0.0
2015-08-17,0.0
2015-08-18,0.0
2015-08-19,0.0
2015-08-20,0.0
2015-08-21,0.0
2015-08-22,0.0
2015-08-23,0.0
2015-08-24,0.0
2015-08-25,0.0
2015-08-26,0.0
2015-08-27,0.0
2015-08-28,0.0
2015-08-29,0.0
2015-08-30,0.0
2015-08-31,0.0
2015-09-01,0.0
2015-09-02,0.0
2015-09-03,0.0
2015-09-04,0.0
2015-09-05,0.0
2015-09-06,0.0
2015-09-07,0.0
2015-09-08,0.0
2015-09-09,0.0
2015-09-10,0.0
2015-09-11,0.0
2015-09-12,0.0
2015-09-13,0.0
2015-09-14,0.0
2015-09-15,0.0
2015-09-16,0.0
2015-09-17,0.0
2015-09-18,0.0
2015-09-19,0.0
2015-09-20,0.0
2015-09-21,0.0
2015-09-22,0.0
2015-09-23,0.0
2015-09-24,0.0
2015-09-25,0.0
2015-09-26,0.0
2015-09-27,0.0
2015-09-28,0.0
2015-09-29,-4.384430275505835e-07
2015-09-30,0.0
2015-10-01,4.1736621092525183e-07
2015-10-02,-4.1736603662023697e-07
2015-10-03,0.0
2015-10-04,0.0
2015-10-05,1.252098632553711e-06
2015-10-06,0.0
2015-10-07,-4.1736568823225184e-07
2015-10-08,-4.173658624262444e-07
2015-10-09,0.0
2015-10-10,0.0
2015-10-11,0.0
2015-10-12,0.0
2015-10-13,4.1736603662023697e-07
2015-10-14,1.6694672644312902e-06
2015-10-15,-4.1736516565027415e-07
2015-10-16,4.173653398442667e-07
2015-10-17,0.0
2015-10-18,0.0
2015-10-19,2.086825828362393e-06
2015-10-20,4.1736429468031133e-07
2015-10-21,4.1736412059734107e-07
2015-10-22,4.173639462923262e-07
2015-10-23,4.1736377220935594e-07
2015-10-24,0.0
2015-10-25,0.0
2015-10-26,-8.347271958086822e-07
2015-10-27,4.173639462923262e-07
2015-10-28,0.0
2015-10-29,2.086822675329003e-06
2015-10-30,-4.173629011283708e-07
2015-10-31,0.0
2015-11-01,0.0
2015-11-02,-4.173630753223634e-07
2015-11-03,2.5041794970981357e-06
2015-11-04,0.0
2015-11-05,2.0868148364883154e-06
2015-11-06,4.1736133349346005e-07
2015-11-07,0.0
2015-11-08,0.0
2015-11-09,-8.34726133103203e-07
2015-11-10,4.173653223027429e-07
2015-11-11,8.347226667648755e-07
2015-11-12,8.347219699889052e-07
2015-11-13,2.0868031833654044e-06
2015-11-14,0.0
2015-11-15,0.0
2015-11-16,1.2520831118578712e-06
2015-11-17,-2.5041592734975637e-06
2015-11-18,-8.34720576547987e-07
2015-11-19,-8.347212733239573e-07
2015-11-20,4.173609851054749e-07
2015-11-21,0.0
2015-11-22,0.0
2015-11-23,-1.6694470580391751e-06
2015-11-24,-1.6694460305277659e-06
2015-11-25,8.347244087048011e-07
2015-11-26,-8.347237120398532e-07
2015-11-27,4.1736220435240057e-07
2015-11-28,0.0
2015-11-29,0.0
2015-11-30,0.0
2015-12-01,-8.347240604278383e-07
2015-12-02,4.1736237865741543e-07
2015-12-03,0.0
2015-12-04,-2.566779466750546e-08
2015-12-05,0.0
2015-12-06,0.0
2015-12-07,0.0
2015-12-08,0.0
2015-12-09,0.0
2015-12-10,0.0
2015-12-11,0.0
2015-12-12,0.0
2015-12-13,0.0
2015-12-14,0.0
2015-12-15,0.0
2015-12-16,0.0
2015-12-17,0.0
2015-12-18,0.0
2015-12-19,0.0
2015-12-20,0.0
2015-12-21,0.0
2015-12-22,0.0
2015-12-23,0.0
2015-12-24,0.0
2015-12-25,0.0
2015-12-26,0.0
2015-12-27,0.0
2015-12-28,0.0
2015-12-29,-2.650251973435047e-08
2015-12-30,0.0
2015-12-31,4.1736604083908446e-07
2016-01-01,0.0
2016-01-02,0.0
2016-01-03,0.0
2016-01-04,-8.347279185638712e-07
2016-01-05,-4.173624003067644e-07
2016-01-06,4.17362574500757e-07
2016-01-07,-8.347248007245511e-07
2016-01-08,-8.347254975005214e-07
2016-01-09,0.0
2016-01-10,0.0
2016-01-11,-4.1736309708273467e-07
2016-01-12,8.347265425534545e-07
2016-01-13,-8.347258458885065e-07
2016-01-14,-2.5250497026618746e-08
2016-01-15,0.0
2016-01-16,0.0
2016-01-17,0.0
2016-01-18,0.0
2016-01-19,0.0
2016-01-20,0.0
2016-01-21,0.0
2016-01-22,0.0
2016-01-23,0.0
2016-01-24,0.0
2016-01-25,0.0
2016-01-26,0.0
2016-01-27,0.0
2016-01-28,0.0
2016-01-29,0.0
2016-01-30,0.0
2016-01-31,0.0
2016-02-01,0.0
2016-02-02,0.0
2016-02-03,0.0
2016-02-04,0.0
2016-02-05,0.0
2016-02-06,0.0
